name,author,intro
Scratch魔法书：探索算法,"

金钟勋                    ?

            ",本书讲解了中小学生也能轻松理解的算法，通过运行程序、边学边练、思考应用等操作，帮助孩子准确理解算法概念，培养解...

设计与沟通：好设计师这样让想法落地,"

Martina Hodges-Schell                    ?

James O'Brien                    ?

            ",任何一款产品在问世前都要经过反复的讨论验证等流程，在这个过程中，产品的设计人员如何把握沟通技巧也是一门学问。本...

你不可不知的50个生物学知识,"

［法］J.V.沙马里（J.V.Chamary）                    ?

            ",本书精选了50个重要的生物学概念，涉及从生命起源、自然选择到合成生物学，从个体的受精、发育和衰老到物种的形成、...

Unity移动游戏开发,赵利通,本书从自上而下的角度介绍了Unity游戏引擎的功能，并提供了具体的、面向项目的指导，说明了如何在真实的游戏场景...

零压力学Python,袁国忠,本书以Python为背景讲述编程，用示例强化理解、条分缕析Python工作原理，给出了经验总结及其语言特性的缘...

Spark机器学习（第2版）,蔡立宇,本书结合案例研究讲解Spark 在机器学习中的应用，并介绍如何从各种公开渠道获取用于机器学习系统的数据。内容涵...

未来世界的幸存者,阮一峰,本书为阮一峰博客文集，主要收录的是作者对技术变革的影响的一些思考，希望能够藉此书让读者意识到世界正在剧烈变化，...

写给大家看的设计书：实战篇,"

克劳迪娅·科特豪斯                    ?

            ",本书是一本设计小白成长进阶之书，使用通俗易懂的语言和丰富的图形示例将设计的任务、手法、实战以及专业知识有效呈现...

Python数据科学手册,陶俊杰 陈小莉,本书是对以数据深度需求为中心的科学、研究以及针对计算和统计方法的参考书。本书共五章，每章介绍一到两个Pytho...

Python黑客攻防入门,武传海,全书内容划分为基础知识、各种黑客攻击技术、黑客攻击学习方法三部分。基础知识部分主要介绍各种黑客攻击技术、计算机...

SQL进阶教程,"

MICK                    ?

            ",本书是《SQL基础教程》作者MICK为志在向中级进阶的数据库工程师编写的一本SQL技能提升指南。全书可分为两部...

流畅的Python,安道,本书致力于帮助Python开发人员挖掘这门语言及相关程序库的优秀特性，避免重复劳动，同时写出简洁、流畅、易读、...

前方的路,阮一峰,本书为阮一峰博客文集，囊括了作者对各种问题的思考，围绕的主题是试图理解这个世界。书中内容非常广泛，涉及文学、历...

现代编译原理：C语言描述（修订版）,"

Andrew W. Appel                    ?

 Maia Ginsburg                    ?

            ",本书全面讲述了现代编译器的各个组成部分，包括词法分析、语法分析、抽象语法、语义检查、中间代码表示、指令选择、数...

HTTP/2基础教程,"

Stephen Ludin                    ?

Javier Garza                    ?

            ",如今互联网发展日新月异，HTTP/1.1协议已经难以承载日益复杂的网页内容，因此HTTP/2值得尝试。本书介绍...

陶哲轩教你学数学,"

陶哲轩(Terence Tao)                    ?

            ",本书是天才数学家陶哲轩的第一本书，论述解决数学问题时会涉及的各种策略、方法，旨在激发青少年对数学的兴趣。书中涵...

深入理解TensorFlow：架构设计与实现原理,彭靖田,本书以TensorFlow 1.2为基础，从基本概念、内部实现和最佳实践等方面深入剖析了TensorFlow。...

Spark高级数据分析（第2版）,龚少成,本书是使用Spark进行大规模数据分析的实战宝典，由知名数据科学家撰写。本书在第1版的基础上，针对Spark近...

使用 RSpec 测试 Rails 程序（原书第3版）,安道,本书是 Everyday Rails Testing with RSpec 的中文版，此书长期位列 Leanp...

Django基础教程,安道,本书是《Tango with Django》的简体中文版。这一本学做结合的指南，旨在教你使用 Django 和...

明解Java,"

柴田望洋                    ?

            ",本书图文并茂，示例丰富，通过284幅图表和258段代码，由浅入深地解说了从Java的基础知识到面向对象编程的内...

Hadoop深度学习,范东来 ,本书主要目标是处理很多深度学习应用的热点问题并向读者披露解决方案的细节。主要内容分为7章：第1章介绍深度学习基...

用户体验设计：100堂入门课,"

Joel Marsh                    ?

            ","本书是用户体验设计入门书，将真实项目中用户体验设计的实际流程细分

为100 节小课程，涵盖与用户体验相关的常..."

Head First JavaScript程序设计,袁国忠,本书语言和版式活泼，内容讲解深入浅出，是难得的JavaScript入门书。本书内容涵盖JavaScript的基...

Java虚拟机基础教程,袁国忠,本书概述Java 虚拟机（JVM）及其特性，并用大量示例详细介绍了Java、Scala、Clojure、Kot...

